row_id,question_id,actual_answer,prediction,is_correct,split,question,choice_A,choice_B,choice_C,choice_D,original_words,length_constraint_percent,target_word_limit,original_explanation,rewritten_answer,rewritten_explanation,rewritten_word_count,raw_output
10,Mercury_401402,D,D,1,train,فتوسنتز یک فرایند است که شامل دی‌اکسید کربن، آب، گلوکز، اکسیژن و نور خورشید می‌باشد. کدام معادله شیمیایی صحیح برای فتوسنتز است؟,O_{2} + H_{2}O + انرژی -> C_{6}H_{12}O_{6} + CO_{2},CO_{2} + H_{2}O -> C_{6}H_{6}O_{3} + O_{2} + انرژی,6O_{2} + 6H_{2}O -> C_{6}H_{12}O_{6} + 6CO_{2} + انرژی,6CO_{2} + 6H_{2}O + انرژی -> C_{6}H_{12}O_{6} + 6O_{2},67,40,26,فرایند فتوسنتز شامل تبدیل دی‌اکسید کربن و آب به گلوکز و اکسیژن با استفاده از انرژی نور خورشید است. معادله شیمیایی صحیح برای این فرایند به صورت 6CO_{2} + 6H_{2}O + انرژی -> C_{6}H_{12}O_{6} + 6O_{2} است که نشان‌دهنده مصرف شش مولکول دی‌اکسید کربن و شش مولکول آب برای تولید یک مولکول گلوکز و شش مولکول اکسیژن می‌باشد. این معادله به درستی فرآیند فتوسنتز را توصیف می‌کند.,D,فرایند فتوسنتز شامل تبدیل دی‌اکسید کربن و آب به گلوکز و اکسیژن با استفاده از انرژی نور خورشید است که به درستی توصیف شده است.,25,"<answer>D</answer>
<concise_explanation>فرایند فتوسنتز شامل تبدیل دی‌اکسید کربن و آب به گلوکز و اکسیژن با استفاده از انرژی نور خورشید است که به درستی توصیف شده است.</concise_explanation>"
11,MCAS_2005_8_4,B,B,1,train,کدامیک از موارد زیر نمونه‌ای از یک تغییر فیزیکی است؟,روشن کردن یک کبریت,شکستن یک شیشه,سوختن بنزین,زنگ‌زدگی آهن,46,40,18,شکستن یک شیشه یک تغییر فیزیکی است زیرا در این فرآیند فقط شکل و اندازه شیشه تغییر می‌کند و ترکیب شیمیایی آن دست نخورده باقی می‌ماند. در مقابل، سایر گزینه‌ها شامل تغییرات شیمیایی هستند که در آن‌ها ترکیب مواد تغییر می‌کند. بنابراین، گزینه B صحیح است.,B,شکستن شیشه تنها شکل و اندازه را تغییر می‌دهد و ترکیب شیمیایی ثابت می‌ماند.,14,"<answer>B</answer>
<concise_explanation>شکستن شیشه تنها شکل و اندازه را تغییر می‌دهد و ترکیب شیمیایی ثابت می‌ماند.</concise_explanation>"
12,MCAS_2007_8_5180,C,C,1,train,کدام یک از مناطق زیر بیشتر احتمال دارد تا سنگ‌های دگرگونی مانند گنیس و شیست را تشکیل دهد؟,بستر دریا,بیابان بادزده,محل عمیق زیر زمین,محل تحت پوشش یخچال,45,40,18,سنگ‌های دگرگونی مانند گنایس و شیست معمولاً در عمق زمین و تحت فشار و دمای بالا تشکیل می‌شوند. این شرایط در مکان‌های عمیق زیر زمین وجود دارد، جایی که سنگ‌های موجود تحت تأثیر تغییرات دما و فشار قرار می‌گیرند و به سنگ‌های دگرگونی تبدیل می‌شوند.,C,سنگ‌های دگرگونی در عمق زمین و تحت فشار و دمای بالا شکل می‌گیرند.,13,"<answer>C</answer>
<concise_explanation>سنگ‌های دگرگونی در عمق زمین و تحت فشار و دمای بالا شکل می‌گیرند.</concise_explanation>"
13,TIMSS_1995_8_K12,C,C,1,train,حشرات نر در یک جمعیت برای جلوگیری از تولید اسپرم درمان می‌شوند. آیا این کار می‌تواند جمعیت این حشرات را کاهش دهد؟,خیر، زیرا حشرات هنوز هم جفت‌گیری خواهند کرد.,خیر، زیرا این کار نرخ جهش فرزندان را تغییر نمی‌دهد.,بله، زیرا این کار به شدت نرخ زاد و ولد را کاهش می‌دهد.,بله، زیرا نرها خواهند مرد.,49,40,19,اگر نرهای حشره‌ها درمان شوند تا تولید اسپرم را متوقف کنند، این امر به طور قابل توجهی نرخ تولید مثل را کاهش می‌دهد. زیرا بدون اسپرم، نرها قادر به بارور کردن تخمک‌ها نخواهند بود و در نتیجه تعداد نسل‌های جدید کاهش می‌یابد، که به کاهش جمعیت حشره‌ها منجر می‌شود.,C,متوقف کردن تولید اسپرم نرها باروری تخمک‌ها را غیرممکن می‌کند و جمعیت حشره‌ها کاهش می‌یابد.,15,"<answer>C</answer>
<concise_explanation>متوقف کردن تولید اسپرم نرها باروری تخمک‌ها را غیرممکن می‌کند و جمعیت حشره‌ها کاهش می‌یابد.</concise_explanation>"
14,MDSA_2008_5_30,A,A,1,train,در زمین، آب می‌تواند به صورت جامد، مایع یا گاز باشد. کدام منبع انرژی بیشترین تأثیر را بر وضعیت ماده آب دارد؟,خورشید,باد,جریان‌های اقیانوسی,هسته فلزی,50,40,20,خورشید بزرگترین منبع انرژی بر روی زمین است و تأثیر زیادی بر حالت‌های مختلف آب دارد. انرژی خورشیدی باعث تبخیر آب، ذوب یخ و همچنین گرمایش آب می‌شود که به تغییر حالت‌های آب از جامد به مایع و گاز کمک می‌کند. بنابراین، خورشید نقش کلیدی در تغییر حالت آب دارد.,A,خورشید منبع اصلی انرژی است که تغییر حالت‌های آب را از جامد به مایع و گاز تسهیل می‌کند.,18,"<answer>A</answer>
<concise_explanation>خورشید منبع اصلی انرژی است که تغییر حالت‌های آب را از جامد به مایع و گاز تسهیل می‌کند.</concise_explanation>"
15,MSA_2013_5_44,B,B,1,train,یک کشتی مقدار زیادی نفت را در نزدیکی یک ناحیه ساحلی نشت می‌کند. کدام یک از بیانیه‌ها توصیف می‌کند که نفت چگونه احتمالاً بر زیستگاه ساحلی تأثیر خواهد گذاشت؟,نرخ تولید مثل ماهی‌ها افزایش خواهد یافت.,پرندگان آبی قادر به استفاده از بال‌های خود نخواهند بود.,گیاهان آبزی در معرض نور خورشید بیشتری قرار خواهند گرفت.,گیاهان ساحلی به مواد مغذی بیشتری دسترسی خواهند داشت.,49,40,19,نشت نفت به نواحی ساحلی می‌تواند باعث آلودگی آب و کاهش کیفیت آن شود. این آلودگی می‌تواند به پرندگان آبی آسیب برساند و باعث شود که آن‌ها نتوانند از بال‌های خود به درستی استفاده کنند، زیرا نفت می‌تواند پرها را آلوده کرده و خاصیت شناوری آن‌ها را کاهش دهد.,B,نشت نفت به آب‌ها کیفیت آن را کاهش می‌دهد و به پرندگان آبی آسیب می‌زند.,15,"<answer>B</answer>
<concise_explanation>نشت نفت به آب‌ها کیفیت آن را کاهش می‌دهد و به پرندگان آبی آسیب می‌زند.</concise_explanation>"
16,NYSEDREGENTS_2004_8_31,B,B,1,train,یک ویژگی شیمیایی معدنی وقتی مشهود است که معدنی,به راحتی هنگام ضربه با چکش می‌شکند,هنگام قرار دادن اسید بر روی آن حباب کند,به راحتی توسط ناخن خراشیده می‌شود,نور را از سطح خود بازتاب می‌دهد,56,40,22,خاصیت شیمیایی یک ماده معدنی زمانی مشخص می‌شود که واکنش آن با مواد شیمیایی دیگر قابل مشاهده باشد. در اینجا، اگر معدنی با قرار دادن اسید بر روی آن حباب بزند، نشان‌دهنده یک واکنش شیمیایی است که به وضوح خاصیت شیمیایی آن را نشان می‌دهد. سایر گزینه‌ها بیشتر به خواص فیزیکی مربوط می‌شوند و نه شیمیایی.,B,واکنش ماده معدنی با اسید و تولید حباب نشان‌دهنده خاصیت شیمیایی آن است، در حالی که سایر گزینه‌ها فیزیکی هستند.,20,"<answer>B</answer>
<concise_explanation>واکنش ماده معدنی با اسید و تولید حباب نشان‌دهنده خاصیت شیمیایی آن است، در حالی که سایر گزینه‌ها فیزیکی هستند.</concise_explanation>"
17,ACTAAP_2012_7_5,D,D,1,train,یک غروب که در حال تاریک شدن است، الکس بر روی ایوان جلویی می‌نشیند و به آرامی ناپدید شدن خورشید پشت خانه همسایه آن طرف خیابان را تماشا می‌کند. کدام گزینه این مشاهدات را توضیح می‌دهد؟,نور خورشید توسط ابرها منعکس می‌شود.,نور خورشید توسط جو زمین شکست می‌یابد.,خورشید هر روز از غرب به شرق حرکت می‌کند.,خورشید به نظر می‌رسد که به دلیل چرخش زمین در حال حرکت است.,57,40,22,خورشید به دلیل چرخش زمین به دور محور خود به نظر می‌رسد که در آسمان حرکت می‌کند. در این حالت، الکس در حال مشاهده غروب خورشید است که به دلیل چرخش زمین به سمت غرب، خورشید به تدریج از دید او ناپدید می‌شود. این پدیده به وضوح نشان‌دهنده تأثیر چرخش زمین بر مشاهده ما از خورشید است.,D,چرخش زمین باعث می‌شود خورشید در آسمان حرکت کند و در نتیجه غروب آن را مشاهده کنیم.,17,"<answer>D</answer>
<concise_explanation>چرخش زمین باعث می‌شود خورشید در آسمان حرکت کند و در نتیجه غروب آن را مشاهده کنیم.</concise_explanation>"
18,Mercury_7064208,C,C,1,train,یک تبلیغ خمیردندان بیان می‌کند که یک برند از خمیردندان‌ها، غلظت بیشتری از فلوراید نسبت به هر خمیردندان دیگری که در دسترس است، دارد. این تبلیغ احتمالاً به این نکته اشاره دارد که خمیردندان تبلیغ‌شده,طعم خوشایندی دارد.,توسط دندانپزشکان توصیه می‌شود.,به بهداشت دهان و دندان کمک می‌کند.,گران‌ترین برند فروخته‌شده است.,57,40,22,تبلیغ خمیردندان که به غلظت بالای فلوراید اشاره می‌کند، به طور غیرمستقیم به این نکته اشاره دارد که این خمیردندان می‌تواند به بهبود بهداشت دهان و دندان کمک کند. فلوراید به عنوان یک ماده مؤثر در پیشگیری از پوسیدگی دندان شناخته شده است و بنابراین، غلظت بالای آن می‌تواند نشان‌دهنده تأثیر مثبت بر روی سلامت دندان‌ها باشد.,C,غلظت بالای فلوراید در خمیردندان نشان‌دهنده تأثیر مثبت آن بر بهبود بهداشت دهان و پیشگیری از پوسیدگی دندان است.,19,"<answer>C</answer>
<concise_explanation>غلظت بالای فلوراید در خمیردندان نشان‌دهنده تأثیر مثبت آن بر بهبود بهداشت دهان و پیشگیری از پوسیدگی دندان است.</concise_explanation>"
19,ACTAAP_2008_5_7,A,A,1,train,سلول‌ها چه چیزی را تجزیه می‌کنند تا انرژی تولید کنند؟,غذا,آب,کلروفیل,دی‌اکسید کربن,31,40,12,"سلول‌ها برای تولید انرژی از مواد غذایی استفاده می‌کنند. این مواد غذایی شامل کربوهیدرات‌ها، چربی‌ها و پروتئین‌ها هستند که در فرآیندهای متابولیک به انرژی تبدیل می‌شوند. بنابراین، گزینه ""غذا"" صحیح است.",A,سلول‌ها انرژی را از مواد غذایی تولید می‌کنند.,8,"<answer>A</answer>
<concise_explanation>سلول‌ها انرژی را از مواد غذایی تولید می‌کنند.</concise_explanation>"
20,MCAS_2007_8_5171,A,A,1,train,لورا ۵۰ میلی‌لیتر آب جوش را به ۱۰۰ میلی‌لیتر آب یخ اضافه می‌کند. اگر این ۱۵۰ میلی‌لیتر آب سپس در فریزر قرار گیرد، در چه دمايي آب یخ می‌زند؟,۰ درجه سانتی‌گراد,۱۵ درجه سانتی‌گراد,۳۷ درجه سانتی‌گراد,۵۰ درجه سانتی‌گراد,62,40,24,وقتی لورا 50 میلی‌لیتر آب جوش را به 100 میلی‌لیتر آب یخ اضافه می‌کند، دمای نهایی مخلوط به دمایی نزدیک به 0 درجه سانتی‌گراد می‌رسد، زیرا آب یخ دمای پایین‌تری دارد و مقدار بیشتری از آن وجود دارد. بنابراین، وقتی این مخلوط به فریزر منتقل می‌شود، دما به 0 درجه سانتی‌گراد می‌رسد و در این دما آب شروع به یخ زدن می‌کند.,A,اضافه کردن آب جوش به آب یخ دمای نهایی را به نزدیک 0 درجه سانتی‌گراد می‌رساند، جایی که آب شروع به یخ زدن می‌کند.,24,"<answer>A</answer>
<concise_explanation>اضافه کردن آب جوش به آب یخ دمای نهایی را به نزدیک 0 درجه سانتی‌گراد می‌رساند، جایی که آب شروع به یخ زدن می‌کند.</concise_explanation>"
21,Mercury_7239523,C,C,1,train,پیامی از مغز به عضله در بازو توسط کدام ساختارها منتقل می‌شود؟,عصب‌های حسی,عصب‌های بینابینی,عصب‌های حرکتی,عصب‌های مکانورسپتوری,42,40,16,سیگنال از مغز به عضله در بازو توسط نورون‌های حرکتی منتقل می‌شود. این نورون‌ها مسئول انتقال پیام‌های حرکتی از سیستم عصبی مرکزی به عضلات هستند و به عضلات اجازه می‌دهند تا به تحریکات مغزی پاسخ دهند. بنابراین، گزینه صحیح نورون‌های حرکتی است.,C,سیگنال‌های حرکتی از مغز به عضلات از طریق نورون‌های حرکتی منتقل می‌شوند.,12,"<answer>C</answer>
<concise_explanation>سیگنال‌های حرکتی از مغز به عضلات از طریق نورون‌های حرکتی منتقل می‌شوند.</concise_explanation>"
22,Mercury_7057733,B,B,1,train,ترکیب خاک بر توانایی خاک در حفظ و انتقال آب و هوا تأثیر می‌گذارد. کدام نوع خاک برای کاشت یک باغ مولد بهترین است؟,خاک‌های شنی زیرا محتوای سیلیس بالایی دارند.,خاک‌های لومی زیرا شامل شن و رس هستند.,خاک‌های کمی سنگی زیرا معدنیات مورد نیاز را تأمین می‌کنند.,خاک‌های رسی زیرا خاک‌های سنگینی هستند و آب را حفظ می‌کنند.,58,40,23,خاک لومی به دلیل ترکیب مناسب شن و رس، بهترین گزینه برای کاشت باغچه‌های پربار است. این نوع خاک نه تنها توانایی نگهداری آب را دارد بلکه به خوبی هوا را نیز منتقل می‌کند، که برای رشد گیاهان ضروری است. همچنین، خاک لومی مواد مغذی را به خوبی حفظ می‌کند و شرایط ایده‌آلی برای رشد گیاهان فراهم می‌آورد.,B,خاک لومی به دلیل ترکیب مناسب و توانایی نگهداری آب و مواد مغذی، شرایط ایده‌آلی برای رشد گیاهان فراهم می‌کند.,20,"<answer>B</answer>
<concise_explanation>خاک لومی به دلیل ترکیب مناسب و توانایی نگهداری آب و مواد مغذی، شرایط ایده‌آلی برای رشد گیاهان فراهم می‌کند.</concise_explanation>"
23,MEA_2011_8_8,A,A,1,train,زمین در یک روز چند بار حول محور خود می‌چرخد؟,یک بار,دو بار,۲۴ بار,۳۶۵ بار,39,40,15,"زمین در هر روز یک بار به دور محور خود می‌چرخد که این چرخش باعث ایجاد شب و روز می‌شود. این چرخش به مدت تقریبی ۲۴ ساعت طول می‌کشد و به همین دلیل پاسخ صحیح گزینه ""یک بار"" است.",A,زمین هر ۲۴ ساعت یک بار به دور محور خود می‌چرخد و شب و روز ایجاد می‌شود.,17,"<answer>A</answer>
<concise_explanation>زمین هر ۲۴ ساعت یک بار به دور محور خود می‌چرخد و شب و روز ایجاد می‌شود.</concise_explanation>"
24,Mercury_7081270,B,B,1,train,دو دانش‌آموز از آن‌ها خواسته می‌شود که نموداری را در مورد طیف الکترومغناطیسی تهیه کنند. از چپ به راست، نمودار یکی از دانش‌آموزان طیف را از پرتوهای گامای تا امواج رادیویی نشان می‌دهد، در حالی که نمودار دانش‌آموز دیگر عکس آن را نشان می‌دهد. اگر معلم بگوید که هر دو نمودار صحیح هستند، آنگاه,اهمیتی ندارد که دانش‌آموزان نمودارهای خود را چگونه برچسب‌گذاری کنند.,راه‌های متعددی برای سازماندهی اطلاعات وجود دارد.,امواج دارای خواص یکسانی هستند.,دانش‌آموزان تشویق می‌شوند که کار خود را انجام دهند.,46,40,18,این سوال نشان می‌دهد که هر دو دانش‌آموز می‌توانند اطلاعات را به شیوه‌های مختلفی سازماندهی کنند و در نتیجه، هر دو نمودار صحیح هستند. این موضوع به ما یادآوری می‌کند که در علم و آموزش، تنوع در ارائه اطلاعات و دیدگاه‌ها می‌تواند مفید و ارزشمند باشد.,B,تنوع در سازماندهی اطلاعات می‌تواند به درک بهتر و ارزشمندی در آموزش کمک کند.,14,"<answer>B</answer>
<concise_explanation>تنوع در سازماندهی اطلاعات می‌تواند به درک بهتر و ارزشمندی در آموزش کمک کند.</concise_explanation>"
25,Mercury_7086153,D,D,1,train,زغال‌سنگ سنگی جامد است که از مواد ارگانیک در یک دلتای آب‌گرفته تشکیل شده است. تشکیل زغال‌سنگ نشان می‌دهد که,زغال‌سنگ عمدتاً از بقایای اسکلتی حیوانات تشکیل شده است.,زغال‌سنگ از ماگما که در طول زمان جامد شده است تشکیل می‌شود.,بلافاصله وقتی آب حذف می‌شود، به حالت فسیل در می‌آید.,فرایندهای زمین‌شناسی سال‌ها ادامه دارد.,44,40,17,تشکیل زغال سنگ نشان‌دهنده این است که فرآیندهای زمین‌شناسی به مدت میلیون‌ها سال ادامه دارند. زغال سنگ از مواد آلی که در باتلاق‌ها جمع شده‌اند، تشکیل می‌شود و این فرآیند نیاز به زمان طولانی و تغییرات زمین‌شناسی دارد تا به شکل نهایی خود برسد.,D,تشکیل زغال سنگ نیازمند زمان طولانی و تغییرات زمین‌شناسی است که میلیون‌ها سال طول می‌کشد.,15,"<answer>D</answer>
<concise_explanation>تشکیل زغال سنگ نیازمند زمان طولانی و تغییرات زمین‌شناسی است که میلیون‌ها سال طول می‌کشد.</concise_explanation>"
